                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.91255,                0.50352,                0.95053,                0.79892,                0.71627,                0.76591,                0.53464,                 1.2363,                0.72961,                 1.0538,                0.00208,                0.00208,                0.00208
                     82,                0.91204,                0.50223,                 0.9503,                0.80871,                0.71597,                0.76603,                 0.5348,                 1.2365,                0.72979,                 1.0539,               0.001981,               0.001981,               0.001981
                     83,                0.90596,                0.50012,                0.95025,                0.80952,                0.71431,                0.76599,                0.53499,                 1.2365,                0.73007,                  1.054,               0.001882,               0.001882,               0.001882
                     84,                0.89884,                0.49456,                0.94735,                0.80204,                0.71771,                0.76541,                0.53479,                 1.2366,                0.73046,                  1.054,               0.001783,               0.001783,               0.001783
                     85,                0.89721,                0.49396,                0.94629,                0.80203,                0.71721,                0.76492,                0.53463,                 1.2368,                0.73111,                 1.0542,               0.001684,               0.001684,               0.001684
                     86,                0.89319,                0.48794,                0.94376,                0.79886,                0.72045,                0.76529,                0.53477,                  1.237,                0.73146,                 1.0542,               0.001585,               0.001585,               0.001585
                     87,                0.89283,                0.48828,                0.94294,                0.79802,                0.72058,                0.76516,                0.53463,                 1.2374,                0.73184,                 1.0544,               0.001486,               0.001486,               0.001486
                     88,                0.88415,                0.48219,                0.94283,                0.80141,                0.71908,                0.76516,                0.53488,                 1.2376,                0.73245,                 1.0543,               0.001387,               0.001387,               0.001387
                     89,                0.88342,                0.48021,                0.94139,                0.80227,                0.71977,                0.76531,                0.53477,                 1.2378,                0.73307,                 1.0546,               0.001288,               0.001288,               0.001288
                     90,                0.87652,                0.47837,                0.94083,                0.81454,                0.71835,                0.76506,                0.53488,                 1.2378,                0.73374,                 1.0543,               0.001189,               0.001189,               0.001189
                     91,                0.86301,                0.42685,                0.91941,                0.81868,                0.71513,                0.76463,                0.53487,                 1.2382,                0.73467,                 1.0545,                0.00109,                0.00109,                0.00109
                     92,                 0.8563,                0.42257,                0.91657,                0.81254,                0.71484,                0.76467,                0.53489,                 1.2383,                0.73558,                 1.0545,               0.000991,               0.000991,               0.000991
                     93,                  0.848,                0.41641,                0.91542,                0.79978,                0.71572,                0.76443,                 0.5347,                 1.2386,                0.73622,                 1.0547,               0.000892,               0.000892,               0.000892
                     94,                 0.8429,                0.41303,                0.91319,                  0.798,                0.71453,                0.76359,                0.53465,                  1.239,                0.73723,                  1.055,               0.000793,               0.000793,               0.000793
                     95,                0.83838,                0.41008,                0.91118,                0.79284,                0.71513,                0.76369,                0.53474,                 1.2396,                0.73827,                 1.0553,               0.000694,               0.000694,               0.000694
                     96,                0.83341,                0.40722,                0.90964,                0.79014,                0.71567,                0.76326,                0.53477,                   1.24,                0.73926,                 1.0554,               0.000595,               0.000595,               0.000595
                     97,                 0.8281,                0.40397,                0.90735,                0.78513,                0.71879,                0.76316,                0.53478,                 1.2404,                 0.7407,                 1.0555,               0.000496,               0.000496,               0.000496
                     98,                0.82454,                0.40069,                0.90551,                0.77098,                0.72757,                0.76313,                0.53481,                 1.2411,                0.74193,                 1.0561,               0.000397,               0.000397,               0.000397
                     99,                0.81945,                0.39868,                0.90438,                0.77403,                0.72758,                0.76341,                  0.535,                 1.2415,                0.74333,                 1.0564,               0.000298,               0.000298,               0.000298
                    100,                 0.8173,                0.39891,                 0.9039,                0.77506,                0.72545,                0.76349,                0.53525,                  1.242,                 0.7445,                 1.0566,               0.000199,               0.000199,               0.000199
