1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,prompt,word
112.0,55.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,324.0,6.0,0.0,0.0,0.0,A picture of,planes
206.0,113.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,388.0,10.0,0.0,1.0,0.0,A picture of,tarmac
106.0,52.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,342.0,18.0,1.0,2.0,0.0,A picture of,airplanes
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,"lisbon,"
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,portugal
43.0,22.0,4.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,4.0,2.0,1.0,A picture of,lots
11.0,6.0,5.0,1.0,0.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,A picture of,located
22.0,6.0,4.0,1.0,2.0,5.0,4.0,0.0,1.0,10.0,1.0,3.0,0.0,0.0,18.0,0.0,A picture of,forest
30.0,12.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,36.0,0.0,A picture of,factory
99.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,244.0,3.0,0.0,2.0,0.0,A picture of,airplane
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,A picture of,hangar
21.0,3.0,33.0,13.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,31.0,0.0,6.0,1.0,0.0,A picture of,small
26.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,scene
21.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,shooting
3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,A picture of,florida
3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,A picture of,naval
9.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,0.0,0.0,A picture of,base
3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,A picture of,fort
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,A picture of,palm
25.0,17.0,40.0,9.0,23.0,0.0,5.0,1.0,18.0,1.0,1.0,29.0,0.0,41.0,28.0,0.0,A picture of,white
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,church
20.0,5.0,0.0,4.0,3.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,A picture of,golf
20.0,5.0,0.0,4.0,3.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,A picture of,course
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,map
16.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,took
16.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,place
3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,property
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,A picture of,crashed
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,crosswalk
42.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,0.0,85.0,11.0,2.0,0.0,0.0,0.0,0.0,A picture of,courts
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,club
21.0,4.0,11.0,25.0,1.0,1.0,1.0,13.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,A picture of,beach
4.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,A picture of,fence
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,A picture of,force
3.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,122.0,21.0,0.0,4.0,0.0,A picture of,ground
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,A picture of,west
5.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,end
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,westwood
5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,A picture of,community
9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,walmart
6.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,diego
21.0,7.0,161.0,18.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,4.0,A picture of,ship
5.0,0.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,ships
32.0,9.0,40.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,5.0,A picture of,port
9.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,A picture of,aircraft
8.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,A picture of,carrier
13.0,3.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,A picture of,uss
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,alexandria
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,enterprise
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,A picture of,"kansas,"
4.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,0.0,A picture of,nuclear
2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,A picture of,powered
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,hms
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,queen
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,elizabeth
7.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,A picture of,"bergen,"
2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,"korea,"
3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,guided-missile
3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,"cruiser,"
11.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,A picture of,center
35.0,23.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,A picture of,construction
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,nasa
22.0,5.0,20.0,19.0,3.0,8.0,16.0,0.0,5.0,1.0,3.0,5.0,0.0,28.0,21.0,0.0,A picture of,space
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,shuttle
2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,arleigh
2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,burke
3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,corner
2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,kansas
5.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,built
1.0,0.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,A picture of,crosses
3.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,"liberty,"
1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,"carrier,"
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,"pennsylvania,"
1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,sunk
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,great
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,depression
29.0,14.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,A picture of,york
8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,"washington,"
30.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,A picture of,state
19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,fairgrounds
6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,albany
9.0,0.0,8.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,home
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,nfl
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,player
13.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,A picture of,maps
6.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,suburbs
32.0,2.0,13.0,12.0,0.0,1.0,1.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,A picture of,woods
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,leads
6.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,14.0,36.0,0.0,0.0,0.0,0.0,0.0,A picture of,basketball
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,A picture of,whale
3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,A picture of,line
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,drawn
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,A picture of,net
3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,A picture of,tree
